epoch,loss_total,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,valid_map_50_95,valid_map_50,valid_map_75,valid_mar_1,valid_mar_10,valid_mar_100,valid_image_count,valid_target_count,valid_prediction_count
1,0.7964283046794862,0.3791348513294725,0.2726113472829481,0.1237818527071536,0.020900252172019615,0.05931546539068222,0.16208416223526,0.0277068093419075,0.12126588076353073,0.15983977913856506,0.16049958765506744,2510.0,6307.0,26834.0
2,0.7746398248275915,0.35951824082893546,0.3321891709572313,0.06431623798508684,0.018616174912226887,0.13408464193344116,0.35525012016296387,0.06338844448328018,0.1956958770751953,0.25706037878990173,0.25826284289360046,2510.0,6307.0,22460.0
3,0.782373027675679,0.3478354466099684,0.36603004710286297,0.05209878942251849,0.016408744818962564,0.18349558115005493,0.41739925742149353,0.12747569382190704,0.24497857689857483,0.2999603748321533,0.30120110511779785,2510.0,6307.0,21248.0
4,0.7985894067532442,0.34513192065283566,0.3923741038776979,0.04590202225331234,0.015181360472856117,0.18668626248836517,0.42659011483192444,0.12066256254911423,0.23490196466445923,0.2956988513469696,0.297167032957077,2510.0,6307.0,23004.0
5,0.7974465644059301,0.33814695635970615,0.40359211190849814,0.04144295183245371,0.014264545859958901,0.22431668639183044,0.4987843632698059,0.15980234742164612,0.2746773064136505,0.34796780347824097,0.35175198316574097,2510.0,6307.0,25257.0
6,0.7951561711588558,0.3283655276385749,0.4146087761403846,0.03857255158651738,0.01360931386072628,0.22329378128051758,0.4847583770751953,0.17466174066066742,0.2711683511734009,0.3384736478328705,0.34199419617652893,2510.0,6307.0,18874.0
7,0.7936108166792067,0.323586226200781,0.42159483888920474,0.03532442770695767,0.013105324720118532,0.23576472699642181,0.5110252499580383,0.18104690313339233,0.2688245177268982,0.34183546900749207,0.34417831897735596,2510.0,6307.0,20530.0
8,0.7870950236505434,0.314594521278479,0.4263231834617914,0.033741570409627164,0.012435749681835554,0.24294103682041168,0.5149593949317932,0.1939241886138916,0.28358331322669983,0.3501717746257782,0.35223761200904846,2510.0,6307.0,17577.0
9,0.7116566128203603,0.27096137320134983,0.40297727003210976,0.02742453125856224,0.010293437303176096,0.30536118149757385,0.5764294266700745,0.292995423078537,0.3261907696723938,0.3999311327934265,0.4021405279636383,2510.0,6307.0,14539.0
10,0.6858695846517198,0.2551976333423311,0.39475769170376357,0.026117918502743462,0.009796341231538922,0.3044598698616028,0.5839002728462219,0.2876676619052887,0.3254050016403198,0.3989292085170746,0.4026806950569153,2510.0,6307.0,15454.0
11,0.6698071437566483,0.24728190559284632,0.38707125786303137,0.025815266349845555,0.009638713982391184,0.3101010024547577,0.5885286927223206,0.2988741099834442,0.32762354612350464,0.4010399580001831,0.40403130650520325,2510.0,6307.0,14234.0
12,0.659470955427529,0.24265383113650787,0.38238126636504743,0.024965039181445943,0.009470819526246605,0.3099295198917389,0.5875328779220581,0.30220410227775574,0.3307311236858368,0.40250855684280396,0.4052836298942566,2510.0,6307.0,14555.0
13,0.6484324994300756,0.23681357518428328,0.3778658477676625,0.02428477381120344,0.009468303381710029,0.30583083629608154,0.587426483631134,0.2882774770259857,0.32421544194221497,0.39889445900917053,0.40158066153526306,2510.0,6307.0,15196.0
14,0.6413993880730636,0.23343855557871646,0.37437255312947454,0.024138628954912384,0.009449650256446555,0.3078819513320923,0.5920665860176086,0.290765643119812,0.3256330192089081,0.3999415636062622,0.4024478793144226,2510.0,6307.0,14482.0
15,0.6244862678288364,0.22591993366418386,0.36546251464967294,0.023809676020980025,0.00929414299659294,0.3089466691017151,0.5822609066963196,0.2962768077850342,0.32770976424217224,0.39965420961380005,0.40230029821395874,2510.0,6307.0,14250.0
16,0.6210488209434625,0.22436669392020453,0.36414969539413544,0.02321460605824276,0.009317824333646998,0.3082946538925171,0.5873275399208069,0.2880530059337616,0.3295031487941742,0.40012916922569275,0.4023568332195282,2510.0,6307.0,14054.0
17,0.599399831999497,0.21844525898589653,0.34914347192779727,0.022857619145634125,0.008953482489057276,0.3127143383026123,0.5901960134506226,0.3050838112831116,0.33022794127464294,0.402031809091568,0.40391746163368225,2510.0,6307.0,13409.0
18,0.5896754041284334,0.21527223406089205,0.3430411234015419,0.022395384995812704,0.008966660994130736,0.3132445216178894,0.5898671746253967,0.30288758873939514,0.33044132590293884,0.4018528461456299,0.4041356146335602,2510.0,6307.0,13528.0
19,0.5836602160807659,0.21293022830645497,0.3392622546285021,0.022563894048146235,0.008903838721046619,0.3113206624984741,0.5890346765518188,0.29872509837150574,0.32894283533096313,0.4005883038043976,0.4025583267211914,2510.0,6307.0,13296.0
20,0.5804512121114003,0.21159899865136725,0.3373677972577563,0.02251409447440257,0.008970320643968835,0.31242769956588745,0.5890211462974548,0.29988476634025574,0.32974594831466675,0.4014376401901245,0.4034554660320282,2510.0,6307.0,13116.0
21,0.580796019488075,0.21108156434896708,0.33847347441695774,0.022335481170269966,0.00890550019814581,0.3124937415122986,0.5885616540908813,0.3035714030265808,0.32940614223480225,0.4015861749649048,0.40339386463165283,2510.0,6307.0,13099.0
22,0.5816393168103166,0.2128774335221356,0.33744524405902027,0.022429227693991714,0.008887410972176902,0.31266769766807556,0.5900339484214783,0.30404752492904663,0.3300846815109253,0.4013727009296417,0.40321072936058044,2510.0,6307.0,13139.0
23,0.574629887610805,0.20846397842897602,0.33481025157190236,0.022437397233645816,0.008918260250788708,0.31090444326400757,0.5893635749816895,0.29722070693969727,0.32850566506385803,0.3997880518436432,0.4014626741409302,2510.0,6307.0,13089.0
24,0.5752032567910412,0.2099153771549642,0.3342773114166847,0.02217115459945805,0.008839413749988003,0.3118744194507599,0.5868884921073914,0.3004993796348572,0.3294276297092438,0.4007781744003296,0.40271440148353577,2510.0,6307.0,13019.0
25,0.5702529990258383,0.20749525939736638,0.3316585047513854,0.022235711777127715,0.00886352299140995,0.31219062209129333,0.5883324146270752,0.3022242486476898,0.32947078347206116,0.40116623044013977,0.4031435549259186,2510.0,6307.0,13136.0
26,0.5786849977087374,0.2106561110269685,0.3367085698299387,0.0224852239921978,0.00883509216104738,0.31281349062919617,0.5890079736709595,0.30161041021347046,0.32909873127937317,0.40119004249572754,0.4031010568141937,2510.0,6307.0,13133.0
